"True_R2","k","p","kp","Std","LASSO_min","LASSO_1se"
0,10,2,5,13.0269423128101,30.624107882544,21.523962129491
0,20,2,10,4.65194962595114,15.0927537465192,9.97219130512371
0,20,1,20,3.15370108671494,12.2215408346616,8.50917779188618
0.25,10,2,5,18.3886014515765,32.0157694528675,21.8774338177206
0.25,20,2,10,12.358303086233,22.6345551747436,12.5365004209003
0.25,20,1,20,9.06681985445618,19.1018250386694,11.9078601929834
0.5,10,2,5,25.0664076576505,35.4245809308303,27.8002954034736
0.5,20,2,10,13.2697949475423,22.0668154364412,18.2964227812162
0.5,20,1,20,8.64432706338867,16.4669453560393,17.0125423418967
